project_id,field_name,company_id,migration_status
711a02c7-aafc-4a1c-9eb4-7df659715b1c,authority,b24a9e9f-77cb-457e-a367-7db5bb737103,success
711a02c7-aafc-4a1c-9eb4-7df659715b1c,authority,86c13ddb-e214-4cd1-b6ff-e2e2c5d7fda6,success
711a02c7-aafc-4a1c-9eb4-7df659715b1c,funding,1f93933f-e56d-4967-9673-a4437c6461ce,success
24ad71c3-297a-4077-b59e-301561169f4f,authority,b24a9e9f-77cb-457e-a367-7db5bb737103,success
24ad71c3-297a-4077-b59e-301561169f4f,authority,86c13ddb-e214-4cd1-b6ff-e2e2c5d7fda6,success
24ad71c3-297a-4077-b59e-301561169f4f,funding,1f93933f-e56d-4967-9673-a4437c6461ce,success
30c76579-1229-4093-b83a-2e588adf50db,study_consultant,d1cd87b2-47e8-4213-a3ae-1f03e962bc89,success
30c76579-1229-4093-b83a-2e588adf50db,main_contractor,0d6de43f-5490-4768-94f0-4ae08f2ef723,success
30c76579-1229-4093-b83a-2e588adf50db,main_contractor,66880d95-498a-4d27-805b-b0d702986957,success
30c76579-1229-4093-b83a-2e588adf50db,main_contractor,e19aede3-d6e9-4729-ad6e-1cce9bd08deb,success
30c76579-1229-4093-b83a-2e588adf50db,operator,b8b0d49d-479b-42ee-a8ec-878c75b85e81,success
c93e072d-952d-49ed-a3fb-cb112663db1b,developer,f5c97cc4-60e3-490a-93b2-adc1b0d153e5,success
c93e072d-952d-49ed-a3fb-cb112663db1b,architect,7f35ac6a-c5f3-4a28-be18-96b1d19a22b9,success
f380dbf3-b0da-4efc-861a-60bfb9d6f3c7,developer,98657918-53e6-4cef-b01e-3e7b3e4ef3de,success
f380dbf3-b0da-4efc-861a-60bfb9d6f3c7,design_consultant,3665912d-41ca-4bd8-b774-477bd0a86809,success
f380dbf3-b0da-4efc-861a-60bfb9d6f3c7,design_consultant,5d2d5660-da2e-42fd-8345-f89fbdfeb65c,success
f380dbf3-b0da-4efc-861a-60bfb9d6f3c7,operator,2a5406c8-47f3-4bf4-a9e2-b0edfa69d729,success
d1db4447-9279-4276-a36d-073f0a0ab8f7,developer,32d5958a-ed84-464b-991c-98d881cf0e62,success
d1db4447-9279-4276-a36d-073f0a0ab8f7,architect,0a4a75a2-7c0a-453b-8089-2d585cce816f,success
d1db4447-9279-4276-a36d-073f0a0ab8f7,operator,74f54eef-5475-4812-8458-2051d9cb363a,success
e1680566-821d-4a55-bd75-d61f2bc67e6c,authority,2cd71ae8-5cd5-4129-a61c-bf0c6da31007,success
