id,drupal_id,name,position,email,company_id,migration_status
00dcd849-2d4d-472e-8287-31cd6620f319,1096,"",,"",1bd0397f-4d6f-4c52-b1b3-9b2f2cb0bc66,success
11b63b4b-1c05-4fb8-b9b9-c7ee90cd2ffc,1717,"",,"",fcf8d7f3-3dc9-446a-94d1-11efe62d2dbe,success
e8bdd05c-69e7-47ab-8dc1-44647953d6f8,974,"",,"",3c3ee299-0caa-4922-bce2-78869a8b6335,success
4ebebd45-3e49-4f29-85e1-573ebe7f590b,8,"",,"",ecead7d4-04e4-49f0-821e-90f874423556,success
c3ce008d-211a-437d-af9e-d50178195f22,480,"",,"",d47519d1-692b-44d8-924c-ff0973974948,success
01cc1693-b14f-4539-ad5f-fb07a3b0fd1b,197,"",,"",58ca5ede-3bce-42e9-996e-bbd5efaba454,success
2603b271-68b6-437c-b693-a83134f172af,723,"",,"",acda5c8b-20a3-482f-bee9-09972e83fe83,success
e03c2cb1-ce3c-48f5-88d9-ae4cefbdba88,863,"",,"",d6dbf22b-909c-4cc1-aae9-1219b805a93d,success
fc4fcfbf-554d-4097-af7d-f2d0b8b0921c,1304,"",,"",b7f8afd4-c80b-4713-91ca-75390919e897,success
1abb0c11-4196-4623-98a0-a1033fbfd683,274,"",,"",8f81de2a-2030-4e53-ab5e-19f7fd553c4b,success
5d128dda-8e99-4030-80c2-974c83de5d58,1319,"",,"",ed3a6dd2-6c6e-494f-ad95-93a412e9f4a9,success
461e5bd0-49e5-4604-b75c-60fe189dc66c,566,"",,"",a9f49e2a-8e2e-4035-a2dd-850dc161f4ba,success
2a46741b-6aef-431d-9e77-aa16b04fe05e,564,"",,"",f5b2a5d5-b8da-40cf-bab0-0a86d8bfc5a8,success
b3afa25a-0b09-474b-9e45-68776b64da02,835,"",,"",ea6cb652-6434-418a-a639-a04b0d5d59b5,success
fe827012-53f0-4521-9419-ada7cad2facb,1110,"",,"",833ca2f7-1f6f-4f06-9a9b-c7dca5ae0927,success
acf7ec23-39eb-47e6-8d34-ceb8fc83fdfd,1269,"",,"",552b196a-3966-4315-a7fe-312d17ffccea,success
271f9dbe-3ced-4824-a6fe-9a7a5852a63c,21,"",,"",c236ba78-e70c-4d78-b2c4-a3b55d2b3db1,success
77f4a708-e746-4e5b-8415-bfde02d515e0,1788,"",,"",4141089e-4e43-4b22-9468-3485c035ab51,success
d92bb59b-3110-4fd4-ba2f-2b4abeb40d18,289,"",,"",6896b8f9-9222-466c-b566-7de2a7155fb8,success
008f27b0-b281-4c35-abd8-cfce7561f1e0,1074,"",,"",a6743f23-30ff-4d80-a0f7-e56c8ab56321,success
9c1e195c-e850-41fb-9c54-de21452da8a7,1205,"",,"",e5079f60-2f19-43a2-b33a-0a7977491690,success
80075ea9-82fb-4dc6-bfa2-6a2aad253959,1626,"",,"",3b972f77-94e7-4ee9-b23b-e4f5eaeeffe7,success
8a8af63b-71f1-4fba-b307-448f8ee1e4f6,1303,"",,"",3f1c4946-505e-46b4-8c7d-fec82732bbcc,success
9a9d551f-9f4c-4807-a917-3af0a75688b7,181,"",,"",2a0365e6-32c1-438b-a8e1-62faace211a7,success
649a431e-a954-47e6-b22f-6e8a48310a14,1211,"",,"",6c9faae3-d542-4232-afb4-096d284451dd,success
fcabd43c-f965-4460-8f9c-acbc28a6ac1c,658,"",,"",780ec2b9-dbbf-4af5-9016-01e00730e81e,success
44d9b311-d180-4ff7-b444-8b228b61721f,14,"",,"",c3e209d2-fcd1-4f0e-abb9-d67173bb3a12,success
2532bfdf-429b-4b61-ac28-d67d93f64295,1064,"",,"",dfeeb2f6-60cf-4d82-823f-8d5711864e0f,success
d9b97d74-678a-4eaa-bfde-ec849421230e,1055,"",,"",0016913e-b906-4966-a49b-ee19ab19c3f0,success
6d9fe50a-0ecf-4e84-a11b-e1a81f4085b5,1313,"",,"",9b1ab487-a487-4ad3-8d1e-c6b2fd565aaa,success
498af6a8-fcd0-4af0-931c-51d18ed3de08,949,"",,"",75f7014d-2365-49ca-8c84-8f8bbcb07e9f,success
01d44f3d-a8ae-491f-ba1f-a98adf54c697,746,"",,"",42eef3c8-212c-4d08-89a7-69984ba559c9,success
a236293f-084e-4f2d-b392-d3634fc0e579,455,"",,"",996ce588-165f-45df-b108-db2994c03b5f,success
b17abe5d-6866-43cd-a7b4-d32196bdaf7e,173,"",,"",ae9a5352-5321-465f-8af1-525eda4712ea,success
16192bd6-bf1b-4239-9d63-46e400effa6c,1203,"",,"",24c0d92b-dc33-44df-9925-6522650301b5,success
9606e6d1-399c-4f43-b665-417ff6daf8e5,1281,"",,"",515fbf68-75ce-4b4a-904f-d576b2975322,success
99b1ab75-1c02-428b-84fe-2d617aaf34ab,899,"",,"",77eda093-e5b9-49a8-8dc0-058a509ee8c7,success
409d68ad-1539-4afd-b39c-151dd178b238,1042,"",,"",29b94955-184e-4d45-bfea-2c6c6efc6ba7,success
3eae5e07-eaec-4200-8449-8df4199e316f,1536,"",,"",b8a193ef-31e7-47fe-aece-44321c79c19f,success
29484105-4f29-4f3e-bcba-26e08b52af0f,10,"",,"",a32b1d0c-bcfc-45ac-9ecb-f3c139bb6495,success
fe97b151-fd49-47b2-b7d0-98cdf58af9e6,674,"",,"",c7d30774-1875-4452-9119-6d23de05b8d6,success
8d31e410-326c-4612-b1f9-64b5497c822b,1011,"",,"",6a1a6351-7745-4671-a914-bc4fb1ccbb95,success
dc4a7b65-10ab-4fcc-ac73-0a2b301eab4d,1118,"",,"",b1408601-941b-45a4-805e-4bc3ede689ab,success
320c64e9-b5e7-469b-8504-fffdfbc7eec2,287,"",,"",ef30726b-0f1a-46bd-8cd1-b1101281bd26,success
7c4d5352-e52b-4201-ba8a-d9c9aa37980b,1087,"",,"",77fc30da-3d71-4472-8909-0aef2c2a202f,success
10bcc960-28a3-462d-8d94-1b8644460961,54,"",,"",b69a3053-59e6-401b-a9fc-b955c14ddd83,success
9227b649-7f92-43fe-9938-c5c35cc054b9,943,"",,"",bb34abf6-f05f-40db-afde-07ecbb7d2384,success
1adb167c-4245-47c9-a09c-ecf11dc0eca0,570,"",,"",9ccd4deb-4ac7-4ffa-8f6a-fb849a8e251f,success
d010533d-ae3f-47c3-b83f-59f79711b425,1722,"",,"",c6908610-bc51-4e31-b9a2-bf5ac59e7f70,success
73cdd603-fa62-456c-94fb-6740c494c17e,794,"",,"",15240e2c-0f8f-4913-ab5d-b6e8b3fcdf55,success
7560d333-2b62-4566-a27c-bc999ca42f37,382,"",,"",5a6439e5-865b-4c10-b898-ceae81d15dd8,success
3ff1b9a4-ee29-4745-869c-c7f589728cc7,1140,"",,"",67bff5ae-98cc-4ee2-9697-1c5be9d8f9e2,success
b448ec14-09f5-46a7-84f6-7376fe229205,623,"",,"",2521e78e-3bbf-431e-aebf-2270c0153a97,success
285b8d67-e24b-438e-ad10-42f9b33e09b0,1106,"",,"",643565d3-1840-48de-83fd-8db3df5fbcab,success
fcd94dcf-b943-48dc-a2fe-8e109009db9a,1221,"",,"",2f12fe8f-5ed9-479c-a6f7-0e6407a7715e,success
9281e548-2430-47bd-b359-2603b6a1e4d7,1562,"",,"",9d50903c-88d9-4131-bf23-bcd05683c5f9,success
db24e9f3-f750-43b6-9c70-5b5fc811f817,581,"",,"",2a5406c8-47f3-4bf4-a9e2-b0edfa69d729,success
09550382-2a46-4bfa-a695-3f90af7c7c37,1010,"",,"",f5c97cc4-60e3-490a-93b2-adc1b0d153e5,success
d8e8a02f-2d71-40ce-a572-ccd405f244b9,1369,"",,"",f6793212-a66d-4ebf-b171-18f9439d46e8,success
c48fd8b6-b961-4149-b2cb-456ece650b58,247,"",,"",978c8dd9-7bdd-4562-b1f9-e5a7e8173f27,success
b27ad30a-d978-443d-a856-0ba3c81bb8f4,1335,"",,"",449e82ce-ecf8-45c0-86b9-bae51b55e33a,success
1e3eb722-9f7e-47f3-bead-13143629c5f3,1236,"",,"",7deeebb1-49af-4325-8917-10c1391d2760,success
e730a495-5b1c-473b-9c3d-7dbb0f17c4a0,349,"",,"",14ad079b-20b1-4905-bce9-552529685b6e,success
39a3bea9-38aa-4ab0-852a-fb4b6ce1cc86,1305,"",,"",7a39bcd2-6597-4709-a149-24a3219d8472,success
feab818d-5b1b-4b6e-833a-c607d8a3f273,1139,"",,"",c121dd8a-e2d3-4e1a-b97b-35409083a944,success
0425df87-4aa8-438a-9fa1-ad1cac7fe9b2,754,"",,"",6483bb65-505c-4209-a0a5-225c62084a75,success
